Video Title,Description,Video URL,Published At,Channel Title,Channel ID,Channel Description,Subscriber Count,Total Views,Video Count,Views,Likes,Dislikes,Comments
🇮🇳Hindu 🕉 RACISM Exposed❗🤯 #shorts #india,Racism in Hinduism Exposed❗Caste system #shorts #india #sanatandharma #hindi.,https://www.youtube.com/watch?v=53I4mWXleIc,2024-04-25T13:00:08Z,One Message Foundation,UCvJyEIx_it2jFYP5M1OzGng,"
Thank you for visiting this channel, click the ""SUBSCRIBE"" button to stay connected. If you enjoy our videos, please LIKE and SHARE them.

Donate to the Dawah 👉 https://goodbricksapp.com/onemessagefoundation.com/donate

We are 501c non-profit organization in United States. The purpose of One Message Foundation is to educate people about Islam.  Should you have questions related to our organizational activities, please do not hesitate to contact us. 

One Message Foundation
",1160000,511856756,1597,229744,25030,0,2361
Hindu hai ham 💫 Jay shree Ram 🚩🚩#drop #on #comment #jaishreeram #trendingshorts #viral #reels #video,,https://www.youtube.com/watch?v=_mCTOoVO01s,2024-03-02T01:38:53Z,Kishan Armwrestler ,UC09RYu_C3IbeXgAfDMx_7pg,https://www.instagram.com/imkishanrai?igsh=c2x3eDJuZnlwaDV6,130000,26903284,173,12143687,330254,0,1941
Reply to Rahul Gandhi on HINDU=हिंसा remark by Master Shifuji #mastershifuji #hindu #shifuji #news,Hindu” Hinsa-Asatya-Nafrat REPLY to Rahul Gandhi? #Hindu #Hinduism #mastershifuji.,https://www.youtube.com/watch?v=9JsIXpQaoI8,2024-07-01T14:08:07Z,GRANDMASTER SHIFUJI'S MISSION PRAHAR,UCbv9fcp621uLO0zD0EkH7wQ,"Jai Hind. This channel is dedicated to the patriotic and social yields of Grandmaster Shifuji Shaurya Bhardwaj Sir. 

The Fan Club in association with ODE. It is essential to mention that The revenues accumulated by this channel support women's empowerment under the campaign ""Mission Prahar."" 

Grandmaster Shifuji Sir has dedicated his life to research and inventing the ""Mitti System"" for the Indian Special Forces, Armed Forces. He has been mentoring the defense establishments and counter-terrorism units utterly Free of Cost with the utmost confidentiality. 

Who is Grandmaster Shifuji Shaurya Bhardwaj?
Legendary Grandmaster Shifuji Shaurya Bhardwaj Sir has been acknowledged with many titles by the International media groups. 
""The Deadliest Man Alive in The World"" By London Post.
""World's Best Commandos Mentor"" By Washington Mail. 
""World's Greatest counter-terrorism mentor of all time."" By Essex TV, London.
""World's Best Commando Trainers Guru"" By Forbes Global News.

""JAI HIND""
",3850000,329924061,1165,127598,15849,0,384
Real Pictures Of Hindu God 🕉️ 🚩 || Mahadev New 4k Status 😯 ||,https://youtu.be/bqqorQ5za1o?si=RMn9OBV450dIAsdk Real Pictures Of Hindu God 🕉️ || Mahadev New 4k Status || .,https://www.youtube.com/watch?v=1dhARq8aZw0,2024-10-14T12:22:33Z,@_Royal_Editor..!!,UCvY58HBJfY9ltyE1tBAuT3g,"      🕉️ ✨ राम राम दोस्तो ✨ 🕉️

              💫  🚩जय श्री राम 🚩💫

   🔥 मेरा नाम आदित्य प्रजापति है, 🔥

          🙂 और आपका मेरे यूट्यूब चैनल पर 🙂

    🙏 हार्दिक स्वागत और अभिनंदन है 🙏 



",21500,8663576,142,4345395,0,0,48784
Hindu Monk Chinmoy Krishna Das arrested in Bangladesh | The Chanakya Dialogues Major Gaurav Arya |,"Hindu Monk Chinmoy Krishna Das arrested in Bangladesh | The Chanakya Dialogues Major Gaurav Arya | Chinmoy Krishna Das, ...",https://www.youtube.com/watch?v=URxQ_NU261I,2024-11-28T11:52:38Z,THE CHANAKYA DIALOGUES HINDI,UC1bUswUinAEFYaRQFvAKjPA,"The Chanakya Dialogues is the largest and most credible Hindi language digital video channel specialising in Geopolitics, Foreign Affairs and National Security. It is part of Chanakya Forum, a media platform that also owns the following properties:

1.	www.chanakyaforum.com website
2.	The Chanakya Diaries magazine
3.	The Chanakya Dialogues (English) 
4.	Majorly Right 

All these platforms have been founded by Major Gaurav Arya (Retd), an Indian Army veteran. He is Editor-in-Chief of Chanakya Forum.
",3380000,815686105,2265,800484,76129,0,6834
#sai #saibaba #shirdisaibaba #shirdi#shirdisai #shirdisaibabamessage #hindusaint #hindu #hindugod,,https://www.youtube.com/watch?v=ruXRTJ9-H_Q,2024-11-30T02:46:06Z,ध्यान के चमत्कार मंत्र की शक्ति भगवान की भक्ति ,UCLfnThYnfEWAozzDPco5duA,"नमस्कार दोस्तों! आपका स्वागत है ""ध्यान के चमत्कार मंत्र की शक्ति भगवान की भक्ति"" चैनल पर। यहां हम आपको अनंत शांति और सकारात्मकता की प्राप्ति के लिए ध्यान, मंत्र, और भगवान के भक्ति के शक्तिशाली उपायों के बारे में बताएँगे।
ध्यान की शक्ति एक अद्भुत चमत्कार है जो हमें मानसिक शांति और आत्म-संवेदना की अनूठी अनुभूति प्रदान करता है। मंत्रों के जाप से आप अपने मन को शुद्ध करके भगवान के समीप पहुंच सकते हैं। भगवान की भक्ति से आप अपने जीवन को पूर्णता और संतुलन से भर सकते हैं।
हमारे वीडियो आपको जीवन के सभी पहलुओं में मदद करेंगे और आपको शांति, समृद्धि और आनंद से भर देंगे। तो आइए, हमारे चैनल को लाइक और सब्सक्राइब करके हमारे साथ जुड़ें और अपने जीवन को सकारात्मकता से भर दें।
धन्यवाद, ध्यानी रहें और भगवान की भक्ति में लीन रहें। 
Here, we will guide you about powerful techniques for attaining infinite peace and positivity, through meditation, mantras, and devotion to the Divine. Chanting mantras allows you to purify your mind and connect with the Divine. The power of meditation is a remarkable miracle.
",13100,3803924,6923,421,167,0,1
HINDUS OF IRAQ 🇮🇶 ?,"This video is about the Yezidi tribe of Iraq who have been persecuted by the Iraqis, Arabs for centuries for being an idol ...",https://www.youtube.com/watch?v=_ZPp8EGTofY,2024-07-28T14:02:10Z,TheBohoSapiens,UCYnG2ZwohOlPsV5AyutEaaQ,"We tell tales of Bharat 🇮🇳
",672000,186937004,440,3154270,249023,0,2438
"Hindu-Muslim, Mandir-Masjid Ka Sach? #hindu #sanatani #muslim #grandmastershifuji #Shifuji #trending","Hindu-Muslim, Mandir-Masjid Ka Sach? अल्लाह वालों राम वालों अपने धर्म और मज़हब कु ...",https://www.youtube.com/watch?v=ceF4KGlskGs,2024-11-30T13:11:43Z,GRANDMASTER SHIFUJI'S MISSION PRAHAR,UCbv9fcp621uLO0zD0EkH7wQ,"Jai Hind. This channel is dedicated to the patriotic and social yields of Grandmaster Shifuji Shaurya Bhardwaj Sir. 

The Fan Club in association with ODE. It is essential to mention that The revenues accumulated by this channel support women's empowerment under the campaign ""Mission Prahar."" 

Grandmaster Shifuji Sir has dedicated his life to research and inventing the ""Mitti System"" for the Indian Special Forces, Armed Forces. He has been mentoring the defense establishments and counter-terrorism units utterly Free of Cost with the utmost confidentiality. 

Who is Grandmaster Shifuji Shaurya Bhardwaj?
Legendary Grandmaster Shifuji Shaurya Bhardwaj Sir has been acknowledged with many titles by the International media groups. 
""The Deadliest Man Alive in The World"" By London Post.
""World's Best Commandos Mentor"" By Washington Mail. 
""World's Greatest counter-terrorism mentor of all time."" By Essex TV, London.
""World's Best Commando Trainers Guru"" By Forbes Global News.

""JAI HIND""
",3850000,329924061,1165,10419,1813,0,63
Power of SANATAN🚩🗿 #shorts #viralvideo #hindu #sanatandharma,,https://www.youtube.com/watch?v=0isR6iWOWZ8,2024-10-29T06:13:24Z,kapishreshth,UCeEQPHZz1aeSBjKX6jin6pA,"Sarthak Shukla (भारतीय🇮🇳)
 राम-राम/प्रणाम🙏
||वस्त्र-धर्म-संस्थापना-अर्थम्||
Dress should be worn for the establishment of dharma.
",807000,376910570,305,6254422,519369,0,2978
Complete video- Khalistaniyon Ki..? Hindus Ke Liye Sab Chup Kyon? #canada #hindu #sanatani #sikh,Complete video- Khalistaniyon Ki..? Hindus Ke Liye Sab Chup Kyon? #canada #hindu #sanatani #sikh.,https://www.youtube.com/watch?v=8v7aUbwZ5lQ,2024-11-09T09:26:27Z,GRANDMASTER SHIFUJI'S MISSION PRAHAR,UCbv9fcp621uLO0zD0EkH7wQ,"Jai Hind. This channel is dedicated to the patriotic and social yields of Grandmaster Shifuji Shaurya Bhardwaj Sir. 

The Fan Club in association with ODE. It is essential to mention that The revenues accumulated by this channel support women's empowerment under the campaign ""Mission Prahar."" 

Grandmaster Shifuji Sir has dedicated his life to research and inventing the ""Mitti System"" for the Indian Special Forces, Armed Forces. He has been mentoring the defense establishments and counter-terrorism units utterly Free of Cost with the utmost confidentiality. 

Who is Grandmaster Shifuji Shaurya Bhardwaj?
Legendary Grandmaster Shifuji Shaurya Bhardwaj Sir has been acknowledged with many titles by the International media groups. 
""The Deadliest Man Alive in The World"" By London Post.
""World's Best Commandos Mentor"" By Washington Mail. 
""World's Greatest counter-terrorism mentor of all time."" By Essex TV, London.
""World's Best Commando Trainers Guru"" By Forbes Global News.

""JAI HIND""
",3850000,329924061,1165,26772,2634,0,184
